Tiene_Vehiculo,Edad,Num_Entidades_Deuda,Tiene_Tarjeta,Saldo_Tarjeta_CLP,Saldo_Total_CLP,Variacion_Endeudamiento,Peor_Calificacion_36M,Peor_Calificacion_12M,Reportes_Central_36M,Reportes_Central_12M,Promedio_Saldo_CLP,Maximo_Saldo_CLP,Ingreso_CLP,Ratio_Saldo_Ingreso,ScoreRiesgo,Sexo_M,Tipo_Empleo_DESCONOCIDO,Tipo_Empleo_IND,Ciudad_Chile_CONCEPCION,Ciudad_Chile_PUERTO MONTT,Ciudad_Chile_SANTIAGO,Ciudad_Chile_TEMUCO,Ciudad_Chile_VALDIVIA,Ciudad_Chile_VALPARAISO,RiesgoAlto
2.5081065150025608,-0.334778662284187,0.23181804392236458,-0.8752402805254361,-0.46144844063657253,2.200881180845443,-0.026956335697831228,-0.7507587156564133,-0.3291782352374522,0.9183896169161802,0.455080486520986,1.1679389476508497,1.7495997025408259,0.5882653075049932,0.8723706318913338,0.06075723950796638,-1.0261326693533932,-0.03425943549137658,0.7748388442260599,-0.3155646535913001,-0.024217973984824136,0.40117215123964983,-0.01712218323125047,-0.13715533364738228,-0.17105827996121115,0
-0.39870714980339617,0.2590022355322039,2.0627512982351144,1.1425433932264477,0.4011538460707317,1.3356283021550681,0.03273661167605349,-0.7507587156564133,-0.3291782352374522,0.9183896169161802,0.455080486520986,0.6513070954334343,0.41061225040825106,0.9016417873706288,0.2101103251493333,1.1466233411234215,-1.0261326693533932,-0.03425943549137658,0.7748388442260599,-0.3155646535913001,-0.024217973984824136,0.40117215123964983,-0.01712218323125047,-0.13715533364738228,-0.17105827996121115,1
-0.39870714980339617,-1.0133854026457767,0.23181804392236458,1.1425433932264477,-0.32800177256413915,-0.5325139939407944,-0.06911303389816885,-0.013186375368569285,-0.3291782352374522,0.9183896169161802,0.455080486520986,-0.41212570765955436,-0.5495476435169093,-0.2735200121255049,-0.47301583655834334,-0.21846547233600785,-1.0261326693533932,-0.03425943549137658,0.7748388442260599,-0.3155646535913001,-0.024217973984824136,0.40117215123964983,-0.01712218323125047,-0.13715533364738228,-0.17105827996121115,0
-0.39870714980339617,-1.3526887728265715,0.23181804392236458,1.1425433932264477,0.13526500528246044,0.8337916889325174,-0.03900553807826787,-0.7507587156564133,-0.3291782352374522,0.9183896169161802,0.455080486520986,1.4125874948271435,0.8054829829219575,0.11820058770653966,0.47839473695781193,-0.0213670875049674,-1.0261326693533932,-0.03425943549137658,0.7748388442260599,-0.3155646535913001,-0.024217973984824136,0.40117215123964983,-0.01712218323125047,-0.13715533364738228,-0.17105827996121115,0
-0.39870714980339617,1.0224348184389922,2.0627512982351144,1.1425433932264477,1.6285139591844668,0.6197165151969347,-0.036702862638856866,0.7243859649192746,-0.3291782352374522,0.9183896169161802,0.455080486520986,0.5977114889526239,0.6109846996409495,-0.4693803120415272,1.3987589980755921,1.383871396938563,-1.0261326693533932,-0.03425943549137658,-1.290590949914031,-0.3155646535913001,-0.024217973984824136,0.40117215123964983,-0.01712218323125047,-0.13715533364738228,-0.17105827996121115,1
-0.39870714980339617,0.7679572908033961,1.1472846710787394,1.1425433932264477,0.09395468369975168,-0.26754381520738235,-0.004471442615221495,-0.7507587156564133,-0.3291782352374522,0.9183896169161802,0.455080486520986,1.1631232076802773,1.8443277221860308,0.03985646774013074,-0.3398836223592945,0.42210427836487424,0.9745328551230511,-0.03425943549137658,-1.290590949914031,-0.3155646535913001,-0.024217973984824136,0.40117215123964983,-0.01712218323125047,-0.13715533364738228,-0.17105827996121115,0
-0.39870714980339617,0.0045247078966078,1.1472846710787394,1.1425433932264477,1.1212690064962438,0.37614580212996546,-0.013673966836058577,-0.013186375368569285,1.61064238415838,0.5998427659536909,0.455080486520986,0.23478645006070104,0.28400193848054117,0.11820058770653966,0.1264194350923111,1.885742284239824,0.9745328551230511,-0.03425943549137658,0.7748388442260599,-0.3155646535913001,-0.024217973984824136,0.40117215123964983,-0.01712218323125047,-0.13715533364738228,-0.17105827996121115,1
-0.39870714980339617,-0.8437337175553793,-0.6836485832340102,-0.8752402805254361,-0.46144844063657253,-0.6492752495547406,-0.05255733668085438,-0.013186375368569285,-0.3291782352374522,0.0689313476828754,0.455080486520986,-0.663140575913242,-0.6388373808504157,-0.03848765222627817,-0.6454579722708365,-0.8608602080816218,0.9745328551230511,-0.03425943549137658,0.7748388442260599,-0.3155646535913001,-0.024217973984824136,0.40117215123964983,-0.01712218323125047,-0.13715533364738228,-0.17105827996121115,0
-0.39870714980339617,-0.6740820324649819,1.1472846710787394,1.1425433932264477,3.7831889021576424,1.219724799829756,-0.01119690271176134,-0.7507587156564133,-0.3291782352374522,0.9183896169161802,0.455080486520986,0.6892678492437895,0.7792490664507595,0.27488882763935746,0.5932774593844422,0.6137277080617191,0.9745328551230511,-0.03425943549137658,0.7748388442260599,-0.3155646535913001,-0.024217973984824136,0.40117215123964983,-0.01712218323125047,-0.13715533364738228,-0.17105827996121115,1
-0.39870714980339617,-1.4375146153717702,-0.6836485832340102,-0.8752402805254361,-0.46144844063657253,-0.6859039441082747,-0.0465240293299004,-0.7507587156564133,-0.3291782352374522,0.706025049607854,0.455080486520986,-0.7049731829122939,-0.7605310219137302,-0.43020825205832275,-0.6196526230705429,-0.8535602679026942,-1.0261326693533932,-0.03425943549137658,-1.290590949914031,-0.3155646535913001,-0.024217973984824136,0.40117215123964983,-0.01712218323125047,-0.13715533364738228,-0.17105827996121115,0
